verdict;morfeuszText;originalText
FALSE;źródło koronawirus być mokry targ Chiny tam fatalny warunki przetrzymywać się zwierzę on się zabijać to idealny miejsce rozwój mutacja patogen czas zrozumieć to jak traktować zwierzę zależeć nasz przyszłość #GoVegan co tNs7yKOzHG;Źródłem koronawirusa jest mokry targ w Chinach. Tam w fatalnych warunkach przetrzymuje się zwierzęta i je się zabija. To idealne miejsce dla rozwoju i mutacji patogenów. Czas zrozumieć, że od tego, jak traktujemy zwierzęta zależy nasza przyszłość.#GoVeganhttps://t.co/tNs7yKOzHG
TRUE;WHO nie zalecać nosić maska osoba zdrowy dlatego poseł obligatoryjnie otrzymać swój maska You know what mean sejm #Covid19 koronawirus;WHO nie zaleca noszenia masek przez osoby zdrowe. Dlatego posłowie obligatoryjnie otrzymali swoje maski. You know what I mean… #sejm #Covid19 #koronawirus
FALSE;jutro bank być otwarty warto zastanowić się wypłacić swój oszczędność ulokować nie wiedzieć ogródek każdy raz gdzie gdzie rząd on nie dorwać co BY4wrDVpGs;Jutro banki będą otwarte. Warto zastanowić się nad wypłaceniem swoich oszczędności i ulokowaniem, nie wiem, w ogródku W każdym razie gdzieś, gdzie rząd ich nie dorwie. https://t.co/BY4wrDVpGs
FALSE;kolejny dowod scieme kretynow koronawirus jak ten zdjeciu uchodzcami ktorzy si topia obok stać gosciu i mieć woda kolano co mdVxRBzWia;kolejny dowod na scieme dla kretynow #koronawirus  - jak na tym zdjeciu z uchodzcami,  ktorzy sie topia - a obok stoi gosciu i ma wody po kolana https://t.co/mdVxRBzWia
FALSE;ponad trzy tydzień Czechy wylądować samolot Chiny 106 tona transport środek ochrona nie przypominać siebie tam premier minister robić konferencja tło samolot pamiętać rząd czeski zareagować szybko każdy obywatel wyposażyć maseczka;Ponad trzy tygodnie temu w Czechach wylądowały samoloty z Chin z 106 tonami transportu środków ochrony.Nie przypominam sobie, żeby tam premier i ministrowie robili konferencję na tle samolotu.Pamiętam, że rząd czeski zareagował szybciej,a każdego obywatela wyposażył w maseczki.
FALSE;mama ja zadzwonić chwila kazać ja zamknąć wszystek okno chmura Czarnobyl wtf;Mama do mnie zadzwoniła przed chwilą i kazała mi zamknąć wszystkie okna przez chmurę z Czarnobyla wtf
FALSE;#koronawiruspolska #KoronawirusWPolsce Szczecin młody chłopak pobić wyjść z dom dziecko wózek #zostańkurwawdomu jak wy szczujenie typ #IPPTV radzić zostać co nD5TtvBYXh;#koronawiruspolska #KoronawirusWPolsce Szczecin, młody chłopak pobity za wyjście z domu z dzieckiem w wózku#zostańkurwawdomu jak wam szczujenie typu#IPPTV radzą.ZOSTAŃ! https://t.co/nD5TtvBYXh
FALSE;majowy wybory nie można powiedzieć 100 być bezpieczny niezwykle niepokoić my zalecenie SzumowskiLukasz ➡️https co 3uFkHcQbUH co cQvX1TZGxm;Prezes @PChSKALPEL o majowych wyborach: Nie można powiedzieć, że 100 proc. będą bezpieczne. Niezwykle niepokoją nas zalecenia @SzumowskiLukasz ➡️https://t.co/3uFkHcQbUH https://t.co/cQvX1TZGxm
FALSE;to być wymazówki kawałek plastik wata tekturowy państwo Kaczyński on kucharka roić bezpieczny wybory nie potrafić zorganizować zwykły patyczek zapewnić obywatel powszechny test Pan SasinJacek pan Morawiecki co 9h537WRm5R;To są wymazówki. Kawałek plastiku i waty. Tekturowe państwo Kaczyńskiego i jego kucharek roi o bezpiecznych wyborach, a nie potrafi zorganizować zwykłego patyczka, żeby zapewnić obywatelom powszechne testy. Panie @SasinJacek, panie @MorawieckiM, pull up, pull up! https://t.co/9h537WRm5R
FALSE;biały KrystPawlowicz choroba wiedzieć tyle 99.5 zarażony przeżyć nie mieć co się bać NY móc mieć 100 choroba jak mieć problem oddychanie to wpisywać mieć koronawirus szpital opłacać się wpisac wirus wtedy dostawać 13 000 nie 4 600 jak zapalenie płuco;@Bielszym @KrystPawlowicz O chorobie wiemy tyle, że 99.5% zarażonych przeżyje. Więc nie ma czego się bać. W NY możesz mieć 100 chorób ale jak masz problem z oddychaniem to wpisują, że masz koronawirusa. Dla szpitali opłaca się wpisac k-wirusa, bo wtedy do
FALSE;pierwszy ochotnik brytyjski badanie szczepionka koronawirusowej zemrzeć co JyO6hIWGUK;Pierwszy ochotnik w brytyjskim badaniu szczepionki koronawirusowej zmarł. https://t.co/JyO6hIWGUK
FALSE;gdzie ten 20 Tys dzienny test czyż rząd manipulować statystyk cel zorganizować wybory prezydencki dlaczego ciąg ostatni dzień odnotować być spadek test koronawirus związek powyższe wystosować pilny interpelacja co h9zJxAS6C0;Gdzie te 20 tys dziennych testów? Czyżby rząd w manipulował statystykami w celu zorganizowania wyborów prezydenckich? Dlaczego w ciągu ostatnich dni odnotowaliśmy spadek testów na #koronawirus?W związku z powyższym wystosuję pilną interpelację do @MZ_GOV_PL . https://t.co/h9zJxAS6C0
